tag,stream_title,link
E18BL20,Lineaere afbildninger del 1,https://video.dtu.dk/media/Line%C3%83%C2%A6re+afbildninger+del+1/0_w7klsed4/218754
E18BL21,Lineaere afbildninger del 2,https://video.dtu.dk/media/Line%C3%83%C2%A6re+afbildninger+del+2/0_so4u6f5b/218754
E18BL22,Uge 8 Lille Dag Afbildningsmatricer og basisskifte,https://video.dtu.dk/media/Uge+8%2C+Lille+DagA+Afbildningsmatricer+og+basisskifte/0_v2urlnt9/218754
E18BL23,Lineaere 1.ordens differentialligninger del 1,https://video.dtu.dk/media/Line%C3%83%C2%A6re+1.ordens+differentialligninger+del+1/0_uk166wku/218754
E18BL24,Lineaere 1.ordens differentialligninger del 2,https://video.dtu.dk/media/Line%C3%83%C2%A6re+1.ordens+differentialligninger+del+2/0_kqi256a4/218754
E18BL25,Egenvaerdier og Egenvektorer del 1,https://video.dtu.dk/media/Egenv%C3%83%C2%A6rdier+og+Egenvektorer+del+1/0_qdf2fvp2/218754
E18BL26,Egenvaerdier og Egenvektorer del 2,https://video.dtu.dk/media/Egenv%C3%83%C2%A6rdier+og+Egenvektorer+del+2/0_omoznc2p/218754
E18BL27,Uge 10 Lille Dag Diagonalisering ved similartransformation,https://video.dtu.dk/media/Uge+10%2C+Lille+DagA+Diagonalisering+ved+similartransformation/0_acqi932m/218754
E18BL28,Symmetriske matricer del 1,https://video.dtu.dk/media/Symmetriske+matricer+del+1/0_o1f42cig/218754
E18BL29,Symmetriske matricer del 2,https://video.dtu.dk/media/Symmetriske+matricer+del+2/0_5328z9qt/218754
E18BL30,Uge 11 Lille Dag Diagonalisering ved ortogonal substition,https://video.dtu.dk/media/Uge+11%2C+Lille+DagA+Diagonalisering+ved+ortogonal+substition/0_s7x3w2gh/218754
E18BL31,Differentialligningssystemer del 1,https://video.dtu.dk/media/Differentialligningssystemer+del+1/0_0awr6vwy/218754
E18BL32,Differentialligningssystemer del 2,https://video.dtu.dk/media/Differentialligningssystemer+del+2/0_73opgwpa/218754
E18BL33,Andenordens differentialligninger del 1,https://video.dtu.dk/media/Andenordens+differentialligninger+del+1/0_rsg9xdws/218754
F19BL01,Uge 1 Lille Dag Mere om funktioner af to variable,https://video.dtu.dk/media/Uge+1%2C+Lille+DagA+Mere+om+funktioner+af+to+variable/0_0c7wcwij/218754
F19BL02,Uge 2 Store Dag Taylors formler Part 1,https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Taylors+formler+Part+1/0_o612v5nk/218754
F19BL03,Uge 2 Store Dag Taylors formler Part 2,https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Taylors+formler+Part+2/0_dtowqqoh/218754
F19BL04,Uge 3 Store Dag Ekstremumsundersøgelser part 1,https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Ekstremumsunders%C3%B8gelser+part+1/0_8jn08o8f/218754
F19BL05,Uge 3 Store Dag Ekstremumsundersøgelser Part 2,https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Ekstremumsunders%C3%B8gelser+Part+2/0_0qy5lhqw/218754
F19BL06,Uge 4 Store Dag Riemannintegralet og dets brug på kurver Part 1,https://video.dtu.dk/media/Uge+4A+Store+DagA+Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Part+1/0_m0nfqq6o/218754
F19BL07,Uge 4 Store Dag Riemannintegralet og dets brug på kurver Part 2,https://video.dtu.dk/media/Uge+4A+Store+DagA+Riemannintegralet+og+dets+brug+p%C3%A5+kurver+Part+2/0_obscxwho/218754
F19BL08,Uge 4 Lille Dag Integrationsteknik,https://video.dtu.dk/media/Uge+4%2C+Lille+DagA+Integrationsteknik/0_1ain8y8s/218754
F19BL09,Uge 5 Lille Dag Særlige flader i rummet,https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+S%C3%A6rlige+flader+i+rummet/0_me4sb5m4/218754
F19BL10,Uge 6 Store Dag Rumlige områder og Rumintegraler Part 1,https://video.dtu.dk/media/Uge+6%2C+Store+DagA+Rumlige+omr%C3%A5der+og+Rumintegraler+Part+1/0_luwkgf84/218754
F19BL11,Uge 6 Store Dag Rumlige områder og Rumintegraler Part 2,https://video.dtu.dk/media/Uge+6%2C+Store+DagA+Rumlige+omr%C3%A5der+og+Rumintegraler+Part+2/0_01td9ke3/218754
F19BL12,Uge 7 Store Dag Vektorfelter Part 1,https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorfelter+Part+1/0_khtjk7pt/218754
F19BL13,Uge 7 Store Dag Vektorfelter Part 2,https://video.dtu.dk/media/Uge+7%2C+Store+DagA+Vektorfelter+Part+2/0_h26cxkcg/218754
F19BL14,Uge 7 Lille Dag Mere om gradientvektorfelter,https://video.dtu.dk/media/Uge+7%2C+Lille+DagA+Mere+om+gradientvektorfelter/0_29pyqdm4/218754
F19BL15,Uge 8 Store Dag Flux og Gauss’ divergenssætning Part 1,https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+Part+1/0_rq91jh5e/218754
F19BL16,Uge 8 Store Dag Flux og Gauss’ divergenssætning Part 2,https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Flux+og+Gauss%E2%80%99+divergenss%C3%A6tning+Part+2/0_fyuz7avc/218754
F19BL17,Uge 12 Lille dag Repetition Del 1,https://video.dtu.dk/media/Uge+12%2C+Lille+dagA+Repetition+Del+1/0_cskpvky9/218754
F19BL18,Uge 12 Lille dag Repetition Del 2,https://video.dtu.dk/media/Uge+12%2C+Lille+dagA+Repetition+Del+2/0_afqcuyqe/218754
F19BL19,Uge 13 Store Dag Stokes’ sætning og potentialer Part 1,https://video.dtu.dk/media/Uge+13%2C+Store+DagA+Stokes%E2%80%99+s%C3%A6tning+og+potentialer+Part+1/0_s7iu5v0m/218754
E19BL01,Matematik 1 - Hold B Uge 1 Del 1,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Del+1/0_2pxlej2l/241155
E19BL02,Matematik 1 - Hold B Uge 1 Del 2,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Del+2/0_qwymjols/241155
E19BL03,Matematik 1 - Hold B Uge 1 Lilledag,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+1+Lilledag/0_yxe43w3a/241155
E19BL04,Matematik 1 - Hold B Uge 2 Del 1,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+2+Del+1/0_mttvbobu/241155
E19BL05,Matematik 1 - Hold B Uge 2 Del 2,https://video.dtu.dk/media/Matematik+1+-+Hold+B+Uge+2+Del+2/0_abxn9l96/241155
