semester,skema,title,link
E14/F15,Skema C,Lineære ligninger Del 2,https://video.dtu.dk/media/Line%C3%A6re+ligninger+Del+2/0_sm6ip7m3/200601
E14/F15,Skema C,Lineær Algebra Del 1,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+1/0_jnsn8x7b/200601
E14/F15,Skema C,Lineær Algebra Del 2,https://video.dtu.dk/media/Line%C3%A6r+Algebra+Del+2/0_nvo6vd6b/200601
E14/F15,Skema C,Kvadratiske matricer Del 1,https://video.dtu.dk/media/Kvadratiske+matricer+Del+1/0_p8rvbma9/200601
E14/F15,Skema C,Kvadratiske matricer Del 2,https://video.dtu.dk/media/Kvadratiske+matricer+Del+2/0_tea1f3gh/200601
E14/F15,Skema C,Geometriske vektorer Del 1,https://video.dtu.dk/media/Geometriske+vektorer+Del+1/0_9lgn8aal/200601
E14/F15,Skema C,Geometriske vektorer Del 2,https://video.dtu.dk/media/Geometriske+vektorer+Del+2/0_dy5d057q/200601
E14/F15,Skema C,Vektorrum Del 1,https://video.dtu.dk/media/Vektorrum+Del+1/0_eqm7tsgj/200601
E14/F15,Skema C,Vektorrum Del 2,https://video.dtu.dk/media/Vektorrum+Del+2/0_ydef03sz/200601
E14/F15,Skema C,Lineær afbildning Del 1,https://video.dtu.dk/media/Line%C3%A6r+afbildning+Del+1/0_vvj6yeb5/200601
E14/F15,Skema C,Lineær afbildning Del 2,https://video.dtu.dk/media/Line%C3%A6r+afbildning+Del+2/0_tmkweoc7/200601
E14/F15,Skema C,Basisskifte Del 1,https://video.dtu.dk/media/Basisskifte+Del+1/0_q3496uth/200601
E14/F15,Skema C,Basisskifte Del 2,https://video.dtu.dk/media/Basisskifte+Del+2/0_7g3hvlwp/200601
E14/F15,Skema C,Funktionsrum Del 1,https://video.dtu.dk/media/Funktionsrum+Del+1/0_j2skq92u/200601
E14/F15,Skema C,Funktionsrum Del 2,https://video.dtu.dk/media/Funktionsrum+Del+2/0_zq8xsgh0/200601
E14/F15,Skema C,Egenværdier Del 1,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+1/0_p3598zhd/200601
E14/F15,Skema C,Egenværdier Del 2,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+2/0_icjz5dlv/200601
E14/F15,Skema C,Diagonalisering Del 1,https://video.dtu.dk/media/Diagonalisering+Del+1/0_t2zmpmak/200601
E14/F15,Skema C,Diagonalisering Del 2,https://video.dtu.dk/media/Diagonalisering+Del+2/0_yena0rnw/200601
E14/F15,Skema C,1. ord. diff-ligninger Del 1,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+1/0_lfnudylz/200601
E14/F15,Skema C,1. ord. diff-ligninger Del 2,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+2/0_ccw8pdv7/200601
